company_name,company_folder_id,category_folder_name,category_folder_id,drive_url,status,remarks
AKRAB SERASI SDN BHD,140fxvi8rZgeE_n_LYEMQXbOXESzW_RJg,03_FINANCIAL_AUDIT_TAX_BANK,194Cwqfylrvl-XbUwMxHv1y6txHx0dMhy,https://drive.google.com/drive/folders/194Cwqfylrvl-XbUwMxHv1y6txHx0dMhy,CREATED,"Financial/tax/bank evidence staging."
KENANGA LESTARI SDN BHD,1jqRzhXit56-3wZYmmFBtYb1TRjOf04cM,03_FINANCIAL_AUDIT_TAX_BANK,1bg9bHIILQRKBYgQIXnazIGEgL9GjcrR_,https://drive.google.com/drive/folders/1bg9bHIILQRKBYgQIXnazIGEgL9GjcrR_,CREATED,"Financial/tax/bank evidence staging."
LUBUK PERMATA SDN BHD,1RxVkMQGrwOLNXc0JNjygCogz5fY-0s7l,03_FINANCIAL_AUDIT_TAX_BANK,15jv3e8dF9sBkSrzekyUt7QzhqdFku5uH,https://drive.google.com/drive/folders/15jv3e8dF9sBkSrzekyUt7QzhqdFku5uH,CREATED,"Financial/tax/bank evidence staging."
RMS BINA JAYA SDN BHD,1wsK-ai0JoCB5jqv5FGR_iotgb2Kvm7nr,03_FINANCIAL_AUDIT_TAX_BANK,1wdPNpVxzOgDH0s_OHJJPLZZQkHJiumOz,https://drive.google.com/drive/folders/1wdPNpVxzOgDH0s_OHJJPLZZQkHJiumOz,CREATED,"Financial/tax/bank evidence staging."
LF LEGACY SDN BHD,1ih6giuxQw2IYQC8zijQjy7VudfZOqs22,FINANCIAL_DOCS,1OVgHgArmklVoS_U9YLAnSKXeqy5qmtGj,https://drive.google.com/drive/folders/1OVgHgArmklVoS_U9YLAnSKXeqy5qmtGj,CREATED,"Financial evidence staging."
KILAUAN SUTERA SDN BHD,1hATWOEOlyFUK8QPPetOOVk8RKO4HRGi0,03_FINANCIAL_AUDIT_TAX_BANK,1o5kMuJInaUQ1N2hc9mVE6nNWfLUIle2d,https://drive.google.com/drive/folders/1o5kMuJInaUQ1N2hc9mVE6nNWfLUIle2d,CREATED,"Financial/tax/bank evidence staging."
BESTARI ANGGUN SDN BHD,1Q_VRcA3TLKL2iKD39S3OFTaB-NZFdThJ,03_FINANCIAL_AUDIT_TAX_BANK,1ti95TvbIhO24onUctMrw9Pf74IPg09_7,https://drive.google.com/drive/folders/1ti95TvbIhO24onUctMrw9Pf74IPg09_7,CREATED,"Financial/tax/bank evidence staging."
IMZ VICTORY,1Yfn60ea-8UNIM_e1EhlKL803b82qPE6o,TENDER_SUBMISSION,1R8srJJ2G5we3UWYqsQsJW30o7PvPUuwI,https://drive.google.com/drive/folders/1R8srJJ2G5we3UWYqsQsJW30o7PvPUuwI,CREATED,"BOQ/tender submission staging."
SMART MASTERPIECE SDN BHD,1E7bodco9J3hYjS7iqXsKcBA7HqIEqhf6,TAX_BANK,1rl6VilR4ByJDEOnotflD7J_7Hxe0X5a6,https://drive.google.com/drive/folders/1rl6VilR4ByJDEOnotflD7J_7Hxe0X5a6,CREATED,"Financial/tax/bank evidence staging."
